datenquelle|standdatum|offertnummerintern|aufschubzeitmonate|laufendenummer|ablaufrueckgewaehr|ablauf|einmalpraemie|jaehrlichepraemie|praemienzahldauermonate|praemienzahlungbis|rabattnachzahlweise|tarifid
6050|20170128|00105160188| |2| |20420201| |367.50|300|20420201| |I1
6050|20170128|00105160189| |2| |20600205| |52.80|516|20600205| |I1
6050|20170128|00105160190| |2| |20541005| |146.40|452|20541005| |I1
6050|20170128|00105160191| |2| |20430205| |148.80|312|20430205| |I1
6050|20170128|00105160192| |2| |20490705| |316.80|388|20490705| |I1
6050|20170128|00105160193| |2| |20250101| |72.30|95|20250101| |I1
6050|20170128|00105160194| |3| |20600205| |124.70|516|20600205| |I1
6050|20170128|00105160196| |2| |20320205| |124.50|180|20320205| |I1
6050|20170128|00105160197| |3| |20600205| |93.30|516|20600205| |I1
6050|20170128|00105160198| |3| |20500205| |117.60|396|20500205| |I1
6050|20170128|00105160200| |2| |20320305| |121.20|180|20320305| |I1
6050|20170128|00105160201| |2| |20521105| |144.00|429|20521105| |I1
6050|20170128|00105160202| |2| |20521105| |144.00|429|20521105| |I1
6050|20170128|00105160203| |2| |20490205| |324.00|384|20490205| |I1
6050|20170128|00105160204| |3| |20580205| |175.20|492|20580205| |I1
6050|20170128|00105160207| |3| |20410205| |147.10|288|20410205| |I1
6050|20170128|00105160211| |4| |20360205| |210.80|228|20360205| |I1
6050|20170128|00105160213| |2| |20320305| |223.20|180|20320305| |I1
6050|20170128|00105160214| |2| |20480901| |41.10|379|20480901| |I1
6050|20170128|00105160215| |2| |20580205| |171.60|492|20580205| |I1
6050|20170128|00105160216| |2| |20561205| |106.80|478|20561205| |I1
6050|20170128|00105160217| |2| |20380205| |122.40|252|20380205| |I1
6050|20170128|00105160218| |2| |20380205| |163.20|252|20380205| |I1
6050|20170128|00105160221| |2| |20540305| |94.80|444|20540305| |I1
6050|20170128|00105160222| |2| |20570205| |390.90|480|20570205| |I1
6050|20170128|00105160223| |2| |20580705| |45.60|497|20580705| |I1
6050|20170128|00105160224| |2| |20570205| |390.90|480|20570205| |I1
6050|20170128|00105160225| |2| |20320205| |277.20|180|20320205| |I1
6050|20170128|00105160226| |2| |20320701| |279.60|185|20320701| |I1
6050|20170128|00105160227| |3| |20580205| |169.20|492|20580205| |I1
6050|20170128|00105160230| |4| |20370205| |221.10|240|20370205| |I1
6050|20170128|00105160231| |2| |20610205| |56.40|527|20610205| |I1
6050|20170128|00105160232| |2| |20340405| |60.00|206|20340405| |I1
6050|20170128|00105160233| |2| |20571105| |78.00|489|20571105| |I1
6050|20170128|00105160234| |2| |20410105| |164.40|286|20410105| |I1
6050|20170128|00105160235| |2| |20421005| |187.20|307|20421005| |I1
6050|20170128|00105160236| |2| |20370201| |4.30|240|20370201| |I1
6050|20170128|00105160238| |2| |20511205| |300.00|417|20511205| |I1
6050|20170128|00105160240| |2| |20420205| |64.80|300|20420205| |I1
6050|20170128|00105160241| |2| |20370305| |131.00|240|20370305| |I1
6050|20170128|00105160242| |2| |20380305| |456.20|252|20380305| |I1
6050|20170128|00105160243| |3| |20560205| |109.20|468|20560205| |I1
6050|20170128|00105160244| |3| |20560205| |109.20|468|20560205| |I1
6050|20170128|00105160246| |2| |20520305| |58.80|420|20520305| |I1
6050|20170128|00105160247| |2| |20520305| |58.80|420|20520305| |I1
6050|20170128|00105160248| |2| |20520305| |58.80|420|20520305| |I1
6050|20170128|00105160249| |3| |20470205| |51.50|360|20470205| |I2
6050|20170128|00105160249| |4| |20470205| |31.10|360|20470205| |I1
6050|20170128|00105160250| |2| |20490305| |76.80|384|20490305| |I1
6050|20170128|00105160251| |2| |20490305| |76.80|384|20490305| |I1
6050|20170128|00105160252| |2| |20490305| |76.80|384|20490305| |I1
6050|20170128|00105160253| |2| |20490305| |92.40|384|20490305| |I1
6050|20170128|00105160254| |2| |20320205| |234.00|180|20320205| |I1
6050|20170128|00105160255| |2| |20220201| |79.00|60|20220201| |I1
6050|20170128|00105160256| |2| |20320205| |313.20|180|20320205| |I1
6050|20170128|00105160257| |3| |20610205| |144.00|528|20610205| |I1
6050|20170128|00105160258| |3| |20610205| |144.00|528|20610205| |I1
6050|20170128|00105160259| |2| |20360205| |273.60|228|20360205| |I1
6050|20170128|00105160260| |3| |20391005| |91.20|272|20391005| |I2
6050|20170128|00105160261| |2| |20461001| |36.60|355|20461001| |I1
6050|20170128|00105160262| |2| |20600605| |144.00|519|20600605| |I1
6050|20170128|00105160263| |2| |20560301| |76.60|468|20560301| |I1
6050|20170128|00105160264| |2| |20360705| |274.80|233|20360705| |I1
6050|20170128|00105160265| |2| |20360705| |548.40|233|20360705| |I1
6050|20170128|00105160266| |3| |20391005| |85.20|272|20391005| |I2
6050|20170128|00105160267| |2| |20440301| |36.20|325|20440301| |I1
6050|20170128|00105160268| |2| |20470205| |226.80|360|20470205| |I1
6050|20170128|00105160269| |2| |20440301| |46.50|325|20440301| |I1
6050|20170128|00105160270| |2| |20470205| |76.80|360|20470205| |I1
6050|20170128|00105160271| |3| |20330205| |46.80|192|20330205| |I2
6050|20170128|00105160272| |3| |20341105| |56.40|213|20341105| |I2
6050|20170128|00105160273| |3| |20580105| |214.80|490|20580105| |I1
6050|20170128|00105160274| |3| |20580105| |178.80|490|20580105| |I1
6050|20170128|00105160275| |2| |20580501| |17.30|495|20580501| |I1
6050|20170128|00105160277| |3| |20571105| |200.40|489|20571105| |I1
6050|20170128|00105160278| |2| |20580501| |17.30|495|20580501| |I1
6050|20170128|00105160279| |2| |20480201| |41.60|372|20480201| |I1
6050|20170128|00105160280| |2| |20480201| |59.90|372|20480201| |I1
6050|20170128|00105160281| |2| |20620401| |206.40|542|20620401| |I1
6050|20170128|00105160282| |3| |20571105| |200.40|489|20571105| |I1
6050|20170128|00105160286| |2| |20390205| |173.80|264|20390205| |I1
6050|20170128|00105160287| |2| |20410201| |187.20|288|20410201| |I1
6050|20170128|00105160288| |2| |20600501| |76.80|519|20600501| |I1
6050|20170128|00105160290| |2| |20590201| |72.00|504|20590201| |I1
6050|20170128|00105160292| |2| |20370205| |50.40|240|20370205| |I1
6050|20170128|00105160293| |3| |20571105| |200.40|489|20571105| |I1
6050|20170128|00105160294| |2| |20550605| |142.80|460|20550605| |I1
6050|20170128|00105160295| |2| |20590505| |108.00|506|20590505| |I1
6050|20170128|00105160296| |2| |20510705| |33.60|413|20510705| |I1
6050|20170128|00105160297| |2| |20370205| |50.40|240|20370205| |I1
6050|20170128|00105160298| |3| |20450905| |117.60|342|20450905| |I1
6050|20170128|00105160299| |2| |20510705| |33.60|413|20510705| |I1
6050|20170128|00105160300| |2| |20370205| |52.60|240|20370205| |I2
6050|20170128|00105160301| |2| |20571105| |177.60|488|20571105| |I1
6050|20170128|00105160302| |4| |20360905| |258.90|234|20360905| |I1
6050|20170128|00105160303| |2| |20520205| |162.00|420|20520205| |I1
6050|20170128|00105160304| |3| |20640305| |105.60|564|20640305| |I1
6050|20170128|00105160305| |3| |20360905| |262.80|234|20360905| |I1
6050|20170128|00105160306| |4| |20430301| |148.70|312|20430301| |I1
6050|20170128|00105160307| |3| |20571105| |200.40|489|20571105| |I1
6050|20170128|00105160308| |2| |20571105| |141.60|488|20571105| |I1
6050|20170128|00105160309| |2| |20520205| |154.50|420|20520205| |I1
6050|20170128|00105160310| |2| |20340205| |74.10|204|20340205| |I1
6050|20170128|00105160311| |2| |20571105| |106.80|488|20571105| |I1
6050|20170128|00105160314| |2| |20530605| |160.80|435|20530605| |I1
6050|20170128|00105160318| |3| |20610605| |106.80|531|20610605| |I1
6050|20170128|00105160319| |3| |20610605| |141.60|531|20610605| |I1
6050|20170128|00105160320| |2| |20530105| |111.60|430|20530105| |I1
6050|20170128|00105160322| |3| |20610605| |177.60|531|20610605| |I1
6050|20170128|00105160323| |2| |20340201| |121.10|204|20340201| |I1
6050|20170128|00105160324| |3| |20571105| |200.40|489|20571105| |I1
6050|20170128|00105160325| |2| |20480305| |116.40|372|20480305| |I1
6050|20170128|00105160326| |2| |20530105| |148.80|430|20530105| |I1
6050|20170128|00105160328| |2| |20480305| |154.80|372|20480305| |I1
6050|20170128|00105160329| |2| |20560201| |24.00|468|20560201| |I1
6050|20170128|00105160330| |2| |20530105| |186.00|430|20530105| |I1
6050|20170128|00105160331| |2| |20520305| |110.40|420|20520305| |I1
6050|20170128|00105160332| |2| |20300205| |601.20|156|20300205| |I1
6050|20170128|00105160333| |3| |20571105| |200.40|489|20571105| |I1
6050|20170128|00105160335| |2| |20520305| |146.40|420|20520305| |I1
6050|20170128|00105160336| |2| |20560201| |48.00|468|20560201| |I1
6050|20170128|00105160337| |2| |20300205| |1202.40|156|20300205| |I1
6050|20170128|00105160338| |2| |20340501| |78.00|207|20340501| |I1
6050|20170128|00105160339| |2| |20560305| |109.20|468|20560305| |I1
6050|20170128|00105160340| |2| |20560305| |145.20|468|20560305| |I1
6050|20170128|00105160341| |2| |20300205| |901.20|156|20300205| |I1
6050|20170128|00105160342| |2| |20520205| |162.40|420|20520205| |I1
6050|20170128|00105160343| |3| |20420205| |85.60|300|20420205| |I1
6050|20170128|00105160344| |2| |20550205| |201.50|456|20550205| |I1
6050|20170128|00105160345| |2| |20510205| |66.00|408|20510205| |I1
6050|20170128|00105160346| |2| |20560205| |34.60|468|20560205| |I1
6050|20170128|00105160347| |3| |20320201| |41.00|180|20320201| |I1
6050|20170128|00105160349| |2| |20360705| |274.80|233|20360705| |I1
6050|20170128|00105160350| |3| |20340201| |62.00|204|20340201| |I1
6050|20170128|00105160351| |2| |20460205| |180.00|348|20460205| |I1
6050|20170128|00105160353| |2| |20570205| |339.60|480|20570205| |I1
6050|20170128|00105160354| |2| |20360705| |548.40|233|20360705| |I1
6050|20170128|00105160355| |3| |20571105| |200.40|489|20571105| |I1
6050|20170128|00105160356| |2| |20550505| |109.20|458|20550505| |I1
6050|20170128|00105160357| |2| |20440301| |116.40|324|20440301| |I1
6050|20170128|00105160358| |2| |20500205| |217.20|396|20500205| |I1
6050|20170128|00105160359| |2| |20460205| |171.40|348|20460205| |I1
6050|20170128|00105160360| |2| |20360705| |274.80|233|20360705| |I1
6050|20170128|00105160361| |2| |20290205| |446.40|144|20290205| |I1
6050|20170128|00105160362| |2| |20460205| |180.00|348|20460205| |I1
6050|20170128|00105160363| |2| |20570805| |145.20|486|20570805| |I1
6050|20170128|00105160364| |2| |20360705| |548.40|233|20360705| |I1
6050|20170128|00105160365| |2| |20360205| |104.40|228|20360205| |I1
6050|20170128|00105160366| |3| |20570205| |337.20|480|20570205| |I1
6050|20170128|00105160368| |2| |20520305| |292.80|420|20520305| |I1
6050|20170128|00105160369| |2| |20570805| |217.20|486|20570805| |I1
6050|20170128|00105160370| |2| |20520305| |219.60|420|20520305| |I1
6050|20170128|00105160371| |2| |20430205| |212.30|312|20430205| |I1
6050|20170128|00105160373| |2| |20430205| |212.30|312|20430205| |I1
6050|20170128|00105160374| |2| |20320201| |9.80|180|20320201| |I1
6050|20170128|00105160376| |2| |20280801| |211.60|138|20280801| |I1
6050|20170128|00105160379| |3| |20610905| |141.60|535|20610905| |I1
6050|20170128|00105160380| |3| |20480205| |46.80|372|20480205| |I1
6050|20170128|00105160382| |3| |20450205| |290.40|336|20450205| |I1
6050|20170128|00105160384| |3| |20450205| |363.60|336|20450205| |I1
6050|20170128|00105160386| |2| |20390205| |51.70|264|20390205| |I1
6050|20170128|00105160387| |3| |20450205| |411.60|336|20450205| |I1
6050|20170128|00105160388| |2| |20390205| |54.00|264|20390205| |I1
6050|20170128|00105160389| |3| |20380205| |109.20|252|20380205| |I1
6050|20170128|00105160390| |2| |20410205| |68.40|288|20410205| |I1
6050|20170128|00105160391| |2| |20240201| |87.60|84|20240201| |I1
6050|20170128|00105160393| |3| |20411005| |43.90|295|20411005| |I2
6050|20170128|00105160393| |4| |20411005| |54.80|295|20411005| |I1
6050|20170128|00105160394| |2| |20350205| |127.20|216|20350205| |I1
6050|20170128|00105160395| |2| |20350205| |127.20|216|20350205| |I1
6050|20170128|00105160396| |3| |20380205| |79.20|252|20380205| |I1
6050|20170128|00105160400| |2| |20280801| |232.80|138|20280801| |I1
6050|20170128|00105160402| |2| |20470705| |247.20|365|20470705| |I1
6050|20170128|00105160403| |2| |20440205| |536.60|324|20440205| |I1
6050|20170128|00105160404| |3| |20630101| |319.20|551|20630101| |I1
6050|20170128|00105160414| |4| |20630101| |295.20|551|20630101| |I1
6050|20170128|00105160415| |2| |20510905| |110.40|415|20510905| |I1
6050|20170128|00105160416| |2| |20590105| |141.60|503|20590105| |I1
6050|20170128|00105160419| |2| |20490905| |430.80|390|20490905| |I1
6050|20170128|00105160420| |2| |20531205| |295.20|442|20531205| |I1
6050|20170128|00105160421| |2| |20590105| |176.40|503|20590105| |I1
6050|20170128|00105160422| |2| |20390205| |173.80|264|20390205| |I1
6050|20170128|00105160423| |2| |20470205| |562.40|360|20470205| |I1
6050|20170128|00105160426| |2| |20410205| |68.40|288|20410205| |I1
6050|20170128|00105160427| |3| |20540505| |284.40|447|20540505| |I1
6050|20170128|00105160429| |3| |20630101| |314.40|551|20630101| |I1
6050|20170128|00105160430| |2| |20370405| |123.60|242|20370405| |I1
6050|20170128|00105160431| |2| |20530305| |279.60|432|20530305| |I1
6050|20170128|00105160432| |2| |20490905| |223.20|390|20490905| |I1
6050|20170128|00105160437| |2| |20490305| |218.40|384|20490305| |I1
6050|20170128|00105160439| |2| |20490605| |174.00|387|20490605| |I1
6050|20170128|00105160440| |2| |20521205| |349.20|429|20521205| |I1
6050|20170128|00105160441| |2| |20320205| |141.40|180|20320205| |I1
6050|20170128|00105160446| |2| |20380201| |38.90|252|20380201| |I1
6050|20170128|00105160447| |2| |20540605| |144.00|447|20540605| |I1
6050|20170128|00105160448| |2| |20510605| |135.60|412|20510605| |I1
6050|20170128|00105160449| |2| |20320205| |37.20|180|20320205| |I1
6050|20170128|00105160450| |2| |20510605| |116.40|412|20510605| |I1
6050|20170128|00105160451| |2| |20550205| |34.80|456|20550205| |I1
6050|20170128|00105160452| |2| |20550205| |45.60|456|20550205| |I1
6050|20170128|00105160453| |2| |20510605| |156.00|412|20510605| |I1
6050|20170128|00105160454| |2| |20550205| |57.60|456|20550205| |I1
6050|20170128|00105160456| |2| |20510205| |112.80|408|20510205| |I1
6050|20170128|00105160457| |2| |20320205| |37.20|180|20320205| |I1
6050|20170128|00105160458| |2| |20521205| |195.40|430|20521205| |I1
6050|20170128|00105160460| |3| |20470205| |67.20|360|20470205| |I2
6050|20170128|00105160460| |4| |20470205| |38.40|360|20470205| |I1
6050|20170128|00105160461| |2| |20270201| |25.80|120|20270201| |I1
6050|20170128|00105160462| |2| |20360205| |104.40|228|20360205| |I1
6050|20170128|00105160463| |2| |20540305| |80.40|444|20540305| |I1
6050|20170128|00105160464| |2| |20540805| |108.00|450|20540805| |I1
6050|20170128|00105160465| |2| |20420305| |202.80|300|20420305| |I1
6050|20170128|00105160466| |2| |20410701| |91.20|293|20410701| |I1
6050|20170128|00105160467| |2| |20550205| |529.70|456|20550205| |I1
6050|20170128|00105160468| |2| |20540805| |108.00|450|20540805| |I1
6050|20170128|00105160469| |2| |20540305| |106.80|444|20540305| |I1
6050|20170128|00105160470| |3| |20300201| |133.30|156|20300201| |I1
6050|20170128|00105160471| |2| |20420325| |5.60|300|20420325| |I1
6050|20170128|00105160473| |2| |20341205| |80.40|213|20341205| |I1
6050|20170128|00105160474| |3| |20470325| |15.80|360|20470325| |I1
6050|20170128|00105160475| |2| |20420325| |7.70|300|20420325| |I1
6050|20170128|00105160476| |3| |20370205| |148.80|240|20370205| |I1
6050|20170128|00105160478| |2| |20540805| |108.00|449|20540805| |I1
6050|20170128|00105160479| |2| |20550605| |176.40|460|20550605| |I1
6050|20170128|00105160480| |2| |20540805| |108.00|449|20540805| |I1
6050|20170128|00105160482| |3| |20420105| |190.80|299|20420105| |I1
6050|20170128|00105160484| |2| |20341205| |411.60|213|20341205| |I1
6050|20170128|00105160485| |3| |20550205| |108.00|456|20550205| |I1
6050|20170128|00105160486| |2| |20530305| |148.80|432|20530305| |I1
6050|20170128|00105160489| |3| |20530305| |219.60|432|20530305| |I1
6050|20170128|00105160490| |2| |20530305| |186.00|432|20530305| |I1
6050|20170128|00105160492| |3| |20430101| |200.40|311|20430101| |I1
6050|20170128|00105160493| |3| |20550305| |108.00|456|20550305| |I1
6050|20170128|00105160494| |3| |20530305| |219.60|432|20530305| |I1
6050|20170128|00105160496| |3| |20550305| |144.00|456|20550305| |I1
6050|20170128|00105160497| |3| |20550305| |181.20|456|20550305| |I1
6050|20170128|00105160498| |3| |20530305| |182.40|432|20530305| |I1
6050|20170128|00105160500| |3| |20550305| |106.40|456|20550305| |I1
6050|20170128|00105160504| |2| |20530305| |223.20|432|20530305| |I1
6050|20170128|00105160506| |2| |20480205| |221.80|372|20480205| |I1
6050|20170128|00105160507| |2| |20530305| |270.00|432|20530305| |I1
6050|20170128|00105160508| |2| |20360705| |548.40|233|20360705| |I1
6050|20170128|00105160509| |3| |20500205| |146.60|396|20500205| |I1
6050|20170128|00105160510| |2| |20440126| |276.00|324|20440126| |I1
6050|20170128|00105160511| |2| |20441226| |554.40|335|20441226| |I1
6050|20170128|00105160512| |4| |20400901| |37.10|283|20400901| |I1
6050|20170128|00105160513| |3| |20430205| |217.20|312|20430205| |I1
6050|20170128|00105160514| |2| |20350101| |177.80|216|20350101| |I1
6050|20170128|00105160517| |2| |20350101| |52.10|216|20350101| |I1
6050|20170128|00105160518| |2| |20490205| |150.00|384|20490205| |I1
6050|20170128|00105160519| |2| |20540705| |110.40|448|20540705| |I1
6050|20170128|00105160520| |3| |20560205| |161.00|468|20560205| |I1
6050|20170128|00105160522| |3| |20600205| |138.00|516|20600205| |I1
6050|20170128|00105160525| |2| |20490205| |112.80|384|20490205| |I1
6050|20170128|00105160529| |2| |20330201| |5.00|192|20330201| |I1
6050|20170128|00105160532| |3| |20370205| |32.40|240|20370205| |I1
6050|20170128|00105160533| |3| |20600205| |138.00|516|20600205| |I1
6050|20170128|00105160534| |3| |20560305| |171.40|468|20560305| |I1
6050|20170128|00105160535| |4| |20400901| |37.40|283|20400901| |I1
6050|20170128|00105160536| |2| |20620205| |108.00|539|20620205| |I1
6050|20170128|00105160537| |3| |20400205| |289.90|276|20400205| |I1
6050|20170128|00105160538| |3| |20540205| |261.20|444|20540205| |I1
6050|20170128|00105160539| |2| |20340305| |512.40|204|20340305| |I1
6050|20170128|00105160540| |3| |20391005| |115.20|272|20391005| |I1
6050|20170128|00105160541| |3| |20370205| |32.40|240|20370205| |I1
6050|20170128|00105160542| |3| |20540205| |273.60|444|20540205| |I1
6050|20170128|00105160543| |2| |20500205| |200.60|396|20500205| |I1
6050|20170128|00105160544| |2| |20540405| |108.00|446|20540405| |I1
6050|20170128|00105160545| |2| |20340305| |512.40|204|20340305| |I1
6050|20170128|00105160546| |3| |20230801| |224.30|78|20230801| |I1
6050|20170128|00105160548| |3| |20590101| |182.40|502|20590101| |I1
6050|20170128|00105160549| |3| |20440605| |154.80|328|20440605| |I1
6050|20170128|00105160550| |2| |20350201| |27.50|216|20350201| |I1
6050|20170128|00105160551| |2| |20340305| |202.80|204|20340305| |I1
6050|20170128|00105160553| |2| |20570805| |145.20|486|20570805| |I1
6050|20170128|00105160554| |3| |20560305| |204.30|468|20560305| |I1
6050|20170128|00105160557| |2| |20570805| |109.20|486|20570805| |I1
6050|20170128|00105160558| |2| |20410205| |42.00|288|20410205| |I1
6050|20170128|00105160559| |2| |20450205| |537.50|336|20450205| |I1
6050|20170128|00105160560| |2| |20421105| |247.20|309|20421105| |I1
6050|20170128|00105160561| |2| |20530505| |134.40|434|20530505| |I1
6050|20170128|00105160562| |3| |20460205| |128.10|348|20460205| |I1
6050|20170128|00105160564| |3| |20570305| |105.60|480|20570305| |I1
6050|20170128|00105160565| |4| |20580905| |229.30|499|20580905| |I1
6050|20170128|00105160566| |4| |20400901| |36.90|283|20400901| |I1
6050|20170128|00105160567| |2| |20460205| |129.40|348|20460205| |I1
6050|20170128|00105160568| |3| |20400205| |290.40|276|20400205| |I1
6050|20170128|00105160570| |4| |20580905| |229.30|499|20580905| |I1
6050|20170128|00105160572| |4| |20580905| |232.90|499|20580905| |I1
6050|20170128|00105160574| |3| |20380205| |110.00|252|20380205| |I1
6050|20170128|00105160575| |2| |20400205| |318.00|276|20400205| |I1
6050|20170128|00105160576| |2| |20380205| |438.00|252|20380205| |I1
